Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
34:40,HOU,4,15,Made,18
55:59,BAL,4,7,Made,13
53:40,HOU,4,4,Made,19
47:58,BAL,4,6,Made,31
20:33,DAL,4,6,Made,6
5:29,ATL,4,6,Made,20
20:51,ATL,4,5,Made,18
42:01,ATL,4,3,Made,29
50:04,ATL,4,4,Missed,27
6:01,BAL,4,7,Made,20
27:55,DET,4,4,Missed,25
15:05,BAL,2,10,Made,28
51:59,BAL,4,9,Made,33
1:35,NE,4,11,Made,32
21:30,NE,4,13,Made,13
18:11,BUF,4,3,Made,30
15:19,NE,4,13,Made,20
8:16,SF,4,15,Made,15
27:01,SF,4,3,Made,9
15:29,SF,4,11,Made,17
32:00,SF,4,6,Made,16
45:08,SF,4,6,Made,6
2:34,GB,4,6,Made,19
15:17,TB,4,9,Made,18
59:33,TB,4,12,Made,12
47:03,GB,4,1,Made,5
27:46,JAX,4,7,Made,12
22:05,IND,4,1,Made,9
30:37,JAX,4,5,Made,5
47:57,JAX,4,5,Made,21
28:30,DEN,4,5,Made,13
40:35,MIA,4,11,Made,20
31:23,NO,4,7,Missed,20
51:13,NO,4,7,Made,13
25:23,KC,4,7,Missed,20
17:53,KC,4,12,Made,18
35:32,NYJ,4,3,Made,9
33:30,NYJ,4,5,Made,29
56:28,NYJ,4,7,Made,20
48:58,NYJ,4,3,Made,3
9:25,HOU,4,5,Made,5
4:59,TEN,4,2,Missed,22
15:43,HOU,4,18,Missed,30
15:08,TEN,1,5,Made,25
35:24,HOU,4,9,Missed,9
49:42,HOU,4,10,Made,24
2:21,LAC,4,2,Missed,20
24:06,LAC,4,3,Made,3
18:50,LAC,4,3,Made,22
15:04,LAC,2,4,Made,4
31:06,LAC,4,6,Made,9
57:08,CLE,4,10,Made,17
11:47,LA,4,15,Made,38
15:04,LA,1,2,Made,2
60:00,ARI,4,14,Made,36
56:03,ARI,4,10,Missed,27
51:21,LA,4,1,Made,6
47:00,LA,4,7,Made,23
18:41,OAK,4,11,Made,21
46:43,NYG,4,8,Made,34
9:51,SEA,4,4,Made,28
22:55,PHI,4,3,Made,8
10:53,CIN,4,2,Made,17
33:38,CIN,4,3,Made,23
55:11,PIT,4,8,Made,19
45:04,PIT,4,6,Made,20
9:52,NO,4,14,Made,16
5:37,ATL,4,5,Made,10
15:04,NO,1,10,Made,29
48:54,ATL,4,11,Made,34
20:08,MIN,4,3,Made,12
15:09,MIN,4,4,Made,4
36:57,CAR,4,2,Made,23
59:25,MIN,4,16,Missed,36
48:11,MIN,4,9,Made,9
27:42,CHI,4,13,Made,15
16:50,CHI,4,1,Made,9
9:08,HOU,4,6,Made,37
21:36,SF,4,11,Made,34
15:02,SF,3,1,Made,17
38:15,SF,4,7,Made,7
48:54,SF,4,1,Made,23
46:34,HOU,4,7,Missed,34
6:30,JAX,4,4,Made,20
15:20,SEA,4,5,Missed,20
38:33,SEA,4,8,Made,10
55:07,JAX,4,11,Made,33
49:09,JAX,4,2,Made,14
9:27,KC,4,15,Made,35
25:51,KC,4,5,Made,11
16:45,KC,4,15,Made,15
41:05,KC,4,5,Made,22
